"","TEMPLATE","WB_CAT","LAND_CD","EU_CD_LS","PSCODE","FAILRBSP","FAILRBS_OT","INS_WHEN","INS_BY","RBD_CD","METADATA","CHEMEXTYPE","CHEMEXPRE","PS_FAIL","PS_EXCTYPE"
"1","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB80001581473","1166","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
"2","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB80001581473","4030","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
"3","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB80001582739","1166","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
"4","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB80001582739","4030","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
"5","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB800015828419","1166","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
"6","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB800015828419","4030","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
"7","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB8000158393","-9999","2076","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml",NA,NA,NA,NA
"8","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB8000158393","-9999","2077","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml",NA,NA,NA,NA
"9","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB8000158393","1166","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
"10","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB8000158393","-9999","2074","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml",NA,NA,NA,NA
"11","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB8000158393","-9999","1164","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml",NA,NA,NA,NA
"12","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB8000158393","-9999","1161","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml",NA,NA,NA,NA
"13","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB8000158393","-9999","1162","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml",NA,NA,NA,NA
"14","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB8000158393","4030","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
"15","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB8000158393","-9999","2386","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml",NA,NA,NA,NA
"16","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB8000158393","2723","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","11",NA,"Y","2"
"17","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB80001585119","1166","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
"18","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB80001585119","4030","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
"19","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB80001585139","1166","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
"20","WFD_Chemical_Status_SW","LW","DEBB","DELW_DEBB80001585139","4030","-9999","-9999",2021-07-28,"LfU,BB","5000","WFD_CHEMSTSW_DEBB.xml","3-0-N1","2.7","Y","4"
