"","WK_ID","WK","MESSSTELLE","ID_ABSCHNITT","QK","PARAMETER","DATUM","WERT","KOMMENTAR","EINHEIT","ABUNDANZART","METHODE","MESSPROGRAMM","EU_CD_LW"
"1","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Achnanthes clevei var. rostrata",2010-08-02,0.388,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"2","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Achnanthes clevei var. rostrata",2010-08-02,2,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"3","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Achnanthes clevei var. rostrata",2010-08-04,0.385,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"4","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Achnanthes clevei var. rostrata",2010-08-04,2,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"5","80001581473","Templiner See bei Templin","2794","2794","Diatomeen","Achnanthes clevei var. rostrata",2010-08-04,0.787,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"6","80001581473","Templiner See bei Templin","2794","2794","Diatomeen","Achnanthes clevei var. rostrata",2010-08-04,4,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"7","80001581473","Templiner See bei Templin","2795","2795","Diatomeen","Achnanthes clevei var. rostrata",2010-08-04,0.389,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"8","80001581473","Templiner See bei Templin","2795","2795","Diatomeen","Achnanthes clevei var. rostrata",2010-08-04,2,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"9","80001581473","Templiner See bei Templin","2794","2794","Diatomeen","Achnanthes",2010-08-04,0.394,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"10","80001581473","Templiner See bei Templin","2794","2794","Diatomeen","Achnanthes",2010-08-04,2,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"11","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Achnanthes ploenensis var. gessneri",2010-08-02,0.388,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"12","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Achnanthes ploenensis var. gessneri",2010-08-02,2,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"13","80001581473","Templiner See bei Templin","2793","2793a","Diatomeen","Achnanthidium caledonicum",2017-08-05,1.19,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"14","80001581473","Templiner See bei Templin","2793","2793a","Diatomeen","Achnanthidium caledonicum",2017-08-05,7,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"15","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Achnanthidium caledonicum",2017-08-05,0,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"16","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Achnanthidium caledonicum",2017-08-05,0,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"17","80001581473","Templiner See bei Templin","2791","2791","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-02,6.262,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"18","80001581473","Templiner See bei Templin","2791","2791","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-02,32,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"19","80001581473","Templiner See bei Templin","2791","2791a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,2.43,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"20","80001581473","Templiner See bei Templin","2791","2791a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,14,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"21","80001581473","Templiner See bei Templin","2791","2791a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,24.04,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"22","80001581473","Templiner See bei Templin","2791","2791a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,125,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"23","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-02,21.553,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"24","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-02,111,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"25","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,2.52,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"26","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,9,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"27","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,12.87,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"28","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,78,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"29","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-04,20.962,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"30","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-04,109,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"31","80001581473","Templiner See bei Templin","2793","2793a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,1.31,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"32","80001581473","Templiner See bei Templin","2793","2793a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,8,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"33","80001581473","Templiner See bei Templin","2793","2793a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,18.88,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"34","80001581473","Templiner See bei Templin","2793","2793a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,111,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"35","80001581473","Templiner See bei Templin","2794","2794","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-04,9.646,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"36","80001581473","Templiner See bei Templin","2794","2794","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-04,49,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
