"","WK_ID","WASSERKÖRPER","ORT","MESSSTELLE","JAHR","PARAMETER","BESCHREIBUNG","METHODE","KOMPONENTE","EINHEIT","X_WERT","Y_WERT","WERT","EXPERTENURTEIL","KOMMENTAR","EU_CD_LW"
"1","80001581473","Templiner See bei Templin",NA,"2791","2017","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","FGW, See; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; (bei FGW-Halobienindex und Versauerung wird berücksichtigt)","PHYLIB 5.3","Diatomeen",NA,"400387","5887253","999",999,"
Gewässertyp = DS 11 [1014] und Häufigkeitssumme der indikativen Taxa < 60% --> Modul Diatomeen nicht gesichert","DELW_DEBB80001581473"
"2","80001581473","Templiner See bei Templin",NA,"2793","2017","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","FGW, See; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; (bei FGW-Halobienindex und Versauerung wird berücksichtigt)","PHYLIB 5.3","Diatomeen",NA,"401825","5887963","999",999,"
Gewässertyp = DS 11 [1014] und Häufigkeitssumme der indikativen Taxa < 60% --> Modul Diatomeen nicht gesichert","DELW_DEBB80001581473"
"3","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2007","TNb_Sommer","Stickstoffkonz. im Sommer","LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","1",NA,NA,"DELW_DEBB80001581473"
"4","80001581473","Templiner See bei Templin",NA,"2792","2014","M_RAQ","See; Modul Referenzartenquotien","PHYLIB 5.3","Diatomeen",NA,"400996","5887369","0,67",NA,NA,"DELW_DEBB80001581473"
"5","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2020","MST Version-Programm",NA,"PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","PhytoSee 7.0 (15.12.2017)",NA,NA,"DELW_DEBB80001581473"
"6","80001581473","Templiner See bei Templin",NA,"2793","2023","RAQ gesichert","RAQ gesichert","PHYLIB 5.3","Diatomeen",NA,"401825","5887963","1",NA,NA,"DELW_DEBB80001581473"
"7","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2020","MST G_Biomasse",NA,"PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","4",NA,NA,"DELW_DEBB80001581473"
"8","80001581473","Templiner See bei Templin",NA,"2792","2017","M_RAQ","See; Modul Referenzartenquotien","PHYLIB 5.3","Diatomeen",NA,"400996","5887369","0,4",NA,NA,"DELW_DEBB80001581473"
"9","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2010","TI_akt","LAWA-Trophieindex","LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","3,4",NA,NA,"DELW_DEBB80001581473"
"10","80001581473","Templiner See bei Templin",NA,"2796","2023","Diatomeentyp","Diatomeentyp des Wasserköpers verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"400740","5886956","DS 11",NA,NA,"DELW_DEBB80001581473"
"11","80001581473","Templiner See bei Templin",NA,"2796","2014","WRRL-Fließgewässertyp","WRRL-Fließgewässertyp und -Seetyp verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"400740","5886956","11",NA,NA,"DELW_DEBB80001581473"
"12","80001581473","Templiner See bei Templin",NA,"2791","2007","M_TILNord / Trophieindex (umger.)","See; Modul Trophie-Index (Wert zwischen 0 und 1)","nicht bekannt","Diatomeen",NA,"400387","5887253","0,86",NA,NA,"DELW_DEBB80001581473"
"13","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2023","ST_Saison",NA,"LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","0,8167",NA,NA,"DELW_DEBB80001581473"
"14","80001581473","Templiner See bei Templin",NA,"2793","2017","Makrophytentyp","Makrophytentyp des Wasserköpers verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"401825","5887963","TKp - 11",NA,NA,"DELW_DEBB80001581473"
"15","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2017","Chl_Saison",NA,"LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","35,43",NA,NA,"DELW_DEBB80001581473"
"16","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2023","MST G_PTSI",NA,"PhytoSee Online 8.0.3 (09.04.2024)","Phytoplankton",NA,"401463","5887612","3",NA,NA,"DELW_DEBB80001581473"
"17","80001581473","Templiner See bei Templin",NA,"2796","2017","MIB","Makrophytenindex Brandenburg","MIB 2004","Makrophyten",NA,"400740","5886956","2,74",NA,NA,"DELW_DEBB80001581473"
"18","80001581473","Templiner See bei Templin",NA,"2795","2017","I_UMG","Index aus der unteren Makrophytengrenze, Teilindex des MIB","MIB 2004","Makrophyten",NA,"401525","5887475","0-2",NA,NA,"DELW_DEBB80001581473"
"19","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2017","ST_Saison",NA,"LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","1,12",NA,NA,"DELW_DEBB80001581473"
"20","80001581473","Templiner See bei Templin",NA,"2791","2023","RAQ gesichert","RAQ gesichert","PHYLIB 5.3","Diatomeen",NA,"400387","5887253","1",NA,NA,"DELW_DEBB80001581473"
"21","80001581473","Templiner See bei Templin",NA,"2793","2017","M_RAQ","See; Modul Referenzartenquotien","PHYLIB 5.3","Diatomeen",NA,"401825","5887963","0,55",NA,NA,"DELW_DEBB80001581473"
"22","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2017","TP_Saison",NA,"LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","34,5",NA,NA,"DELW_DEBB80001581473"
"23","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2017","TI_akt","LAWA-Trophieindex","LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","3,19",NA,NA,"DELW_DEBB80001581473"
"24","80001581473","Templiner See bei Templin",NA,"2795","2017","Teilbewertung Diatomeen, vorläufig/FGW - Ergebnis ohne Salzbelastung & See - vorläufige Bewertung","See, FGW; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; Seen - TI-Anteil, RAQ-Arten und TI-Anzahl wird berücksichtigt","PHYLIB 5.3","Diatomeen",NA,"401525","5887475","1",NA,NA,"DELW_DEBB80001581473"
"25","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2009","TP_Frühjahr",NA,"LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","38",NA,NA,"DELW_DEBB80001581473"
"26","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2017","MST PTSI H/G","H/G PTSI vom Typ","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","2,5",NA,NA,"DELW_DEBB80001581473"
"27","80001581473","Templiner See bei Templin",NA,"2792","2014","Teilbewertung Diatomeen, vorläufig/FGW - Ergebnis ohne Salzbelastung & See - vorläufige Bewertung","See, FGW; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; Seen - TI-Anteil, RAQ-Arten und TI-Anzahl wird berücksichtigt","PHYLIB 5.3","Diatomeen",NA,"400996","5887369","1",NA,NA,"DELW_DEBB80001581473"
"28","80001581473","Templiner See bei Templin",NA,"2794","2017","Makrophytentyp","Makrophytentyp des Wasserköpers verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"402230","5888027","TKp - 11",NA,NA,"DELW_DEBB80001581473"
"29","80001581473","Templiner See bei Templin",NA,"2796","2014","TIL_Nord","See; berechneter Trophie-Index Nord","PHYLIB 5.3","Diatomeen",NA,"400740","5886956","2",NA,NA,"DELW_DEBB80001581473"
"30","80001581473","Templiner See bei Templin",NA,"2794","2017","MIB","Makrophytenindex Brandenburg","MIB 2004","Makrophyten",NA,"402230","5888027","2,97",NA,NA,"DELW_DEBB80001581473"
"31","80001581473","Templiner See bei Templin",NA,"2794","2017","I_UMG","Index aus der unteren Makrophytengrenze, Teilindex des MIB","MIB 2004","Makrophyten",NA,"402230","5888027","0-2,04",NA,NA,"DELW_DEBB80001581473"
"32","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2010","MST PSI Phyto-See-Index","PSI als Zahl für Messstelle und Jahr","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","3,73",NA,NA,"DELW_DEBB80001581473"
"33","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2017","MST IST_PTSI_WERT","Phytoplankton-Taxa-Seen-Index Ist-Wert im Jahresmittel für die Messstelle","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","3,52",NA,NA,"DELW_DEBB80001581473"
"34","80001581473","Templiner See bei Templin",NA,"2793","2007","M_TILNord / Trophieindex (umger.)","See; Modul Trophie-Index (Wert zwischen 0 und 1)","nicht bekannt","Diatomeen",NA,"401825","5887963","0,54",NA,NA,"DELW_DEBB80001581473"
"35","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2007","ST_Saison",NA,"LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","1,03",NA,NA,"DELW_DEBB80001581473"
"36","80001581473","Templiner See bei Templin",NA,"2792","2023","RAQ gesichert","RAQ gesichert","PHYLIB 5.3","Diatomeen",NA,"400996","5887369","1",NA,NA,"DELW_DEBB80001581473"
"37","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2020","MST Crypto_Cyan_S_Bew","Bewertung Crypto_Cyan für Messstelle und Jahr","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","4,13",NA,NA,"DELW_DEBB80001581473"
"38","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2010","MST Chloro-Bewertung","Bewertung Chloro für Messstelle und Jahr","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","2,92",NA,NA,"DELW_DEBB80001581473"
"39","80001581473","Templiner See bei Templin",NA,"2794","2010","Teilbewertung Makrophyten","Bewertung der Messstelle (1 bis 5 möglich), bei leeren Feld ist das Ergebnis ungesichert","MIB 2004","Makrophyten",NA,"402230","5888027","1",NA,NA,"DELW_DEBB80001581473"
