"","TEMPLATE","EU_CD_P","LEG_CD","LEGISLINK","EU_CD_WB","NAMETEXT","TEXTINTERN","PAREA_T","LEGISNAME","WA_CD","RBD_CD","LAND_CD","DELIVERY","METADATA","URL","EVOLUTIONT","PA_COMMENT","PAREA_D_O","PAREA_D_S","PAREA_HB_O","PAREA_HB_S","PAREA_S_OB","PAREA_S_S","PAREA_EX","DESIGBEGIN"
"1","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB587494_925","Wusterwitzer Hauptgraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"2","ProtectedAreaBird","DE4051302","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_US_3-2","Dobberburger Mühlenfließ",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"3","ProtectedAreaBird","DE3951305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_US_3-2","Uferwiesen bei Niewisch",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"4","ProtectedAreaBird","DE3951302","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_US_3-2","Alte Spreemündung",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"5","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB8000158739","Breitlingsee",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"6","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB8000158749639","Großer Wusterwitzer See",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"7","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB80001587499","Wendsee",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"8","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB80001587539","Havel",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"9","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58496_425","Berliner Graben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"10","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB584972_878","Torfgraben Saarmund",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"11","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB584974_879","Stöcker",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"12","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58498_426","Rehgraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
