"","WK_ID","WK","PARAMETER","JAHR","METHODE","WERT","QK","EU_CD_LW"
"1","80001581473","Templiner See bei Templin","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","2015","nicht bekannt",2,"Diatomeen","DELW_DEBB80001581473"
"2","80001581473","Templiner See bei Templin","Ökologischer Zustand","2015","nicht bekannt",4,NA,"DELW_DEBB80001581473"
"3","80001581473","Templiner See bei Templin","Bewertung Phytoplankton","2015","nicht bekannt",4,"Phytoplankton","DELW_DEBB80001581473"
"4","80001581473","Templiner See bei Templin","Bewertung Makrophyten/Diatomeen","2015","nicht bekannt",2,NA,"DELW_DEBB80001581473"
"5","80001582739","Schwielochsee","Teilbewertung Makrophyten","2015","nicht bekannt",3,"Makrophyten","DELW_DEBB80001582739"
"6","80001582739","Schwielochsee","Ökologischer Zustand","2015","nicht bekannt",4,NA,"DELW_DEBB80001582739"
"7","80001582739","Schwielochsee","Bewertung Phytoplankton","2015","nicht bekannt",4,"Phytoplankton","DELW_DEBB80001582739"
"8","80001582739","Schwielochsee","Bewertung Makrophyten/Diatomeen","2015","nicht bekannt",3,NA,"DELW_DEBB80001582739"
"9","800015828419","Scharmützelsee","Teilbewertung Makrophyten","2015","nicht bekannt",3,"Makrophyten","DELW_DEBB800015828419"
"10","800015828419","Scharmützelsee","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","2015","nicht bekannt",3,"Diatomeen","DELW_DEBB800015828419"
"11","800015828419","Scharmützelsee","Ökologischer Zustand","2015","nicht bekannt",3,NA,"DELW_DEBB800015828419"
"12","800015828419","Scharmützelsee","Bewertung Phytoplankton","2015","nicht bekannt",3,"Phytoplankton","DELW_DEBB800015828419"
"13","800015828419","Scharmützelsee","Bewertung Makrophyten/Diatomeen","2015","nicht bekannt",3,NA,"DELW_DEBB800015828419"
"14","8000158393","Tiefer See bei Potsdam","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","2015","nicht bekannt",4,"Diatomeen","DELW_DEBB8000158393"
"15","8000158393","Tiefer See bei Potsdam","Ökologischer Zustand","2015","nicht bekannt",4,NA,"DELW_DEBB8000158393"
"16","8000158393","Tiefer See bei Potsdam","Bewertung Phytoplankton","2015","nicht bekannt",3,"Phytoplankton","DELW_DEBB8000158393"
"17","8000158393","Tiefer See bei Potsdam","Bewertung Makrophyten/Diatomeen","2015","nicht bekannt",4,NA,"DELW_DEBB8000158393"
"18","80001585119","Templiner See bei Potsdam","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","2015","nicht bekannt",3,"Diatomeen","DELW_DEBB80001585119"
"19","80001585119","Templiner See bei Potsdam","Ökologischer Zustand","2015","nicht bekannt",3,NA,"DELW_DEBB80001585119"
"20","80001585119","Templiner See bei Potsdam","Bewertung Phytoplankton","2015","nicht bekannt",3,"Phytoplankton","DELW_DEBB80001585119"
"21","80001585119","Templiner See bei Potsdam","Bewertung Makrophyten/Diatomeen","2015","nicht bekannt",3,NA,"DELW_DEBB80001585119"
"22","80001585139","Schwielowsee","Teilbewertung Makrophyten","2015","nicht bekannt",1,"Makrophyten","DELW_DEBB80001585139"
"23","80001585139","Schwielowsee","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","2015","nicht bekannt",3,"Diatomeen","DELW_DEBB80001585139"
"24","80001585139","Schwielowsee","Ökologischer Zustand","2015","nicht bekannt",3,NA,"DELW_DEBB80001585139"
"25","80001585139","Schwielowsee","Bewertung Phytoplankton","2015","nicht bekannt",3,"Phytoplankton","DELW_DEBB80001585139"
"26","80001585139","Schwielowsee","Bewertung Makrophyten/Diatomeen","2015","nicht bekannt",2,NA,"DELW_DEBB80001585139"
